maori word,use instead of,related term,broader term
Pūtōrino, Flutes, Hineraukatauri; Kōauau; Kōauau ponga ihu; Nguru; Ororuarangi; Patupaiarehe; Ponga ihu; Pōrutu; Pūmotomoto; Rehu, Taonga pūoro
Pūtoto," Kūweto; Pūeto; Crakes, Spotless; Spotless crakes", , Manu repo
Rā, Sun, Āraitanga; Hikumutu; Hine-Raumati; Hine-Takurua; Pūngao kōmaru; Tama-nui-te-rā, Whānau mārama
Rā whānau, Huritau; Rā huritau; Birthdays, Maramataka; Whānau, Whānau (Wāhine)
Rahi, Size, Pāngarau, Pūtaiao
Rāhui, Embargo, Moana; Whenua, Kawa + Tikanga
Rākau ā Tū, Weapons, Tūmatauenga, Pakanga
Rākau whakakake," Tall trees; Trees, Tall", Aka; Huruhuru whenua; Mauwha; Otaota; Otaota hāwere; Rākau whakaruruhau; Rākau whakauru; Whara, Te Wao nui a Tāne
Rākau whakaruruhau," Canopy trees; Trees, Canopy", Aka; Huruhuru whenua; Mauwha; Otaota; Otaota hāwere; Rākau whakakake; Rākau whakauru; Whara, Te Wao nui a Tāne
Rākau whakauru," Medium sized trees; Trees, Medium sized", Aka; Huruhuru whenua; Mauwha; Otaota; Otaota hāwere; Rākau whakakake; Rākau whakaruruhau; Whara, Te Wao nui a Tāne
Rama tuna, Eel catching; Eel fishing; Eel trapping, , Mahinga ika tūturu
Ramarama, , , Mauwha
Rangahau, Research, Kōrero nehe; Tumu kōrero; Uiuitanga; Whakaaotanga, Mātauranga
Rangahau Māori," Research, Māori", Umanga; Whakapakari ā-iwi, Rangahau
Rangahau o te noho-ā-iwi, Ethnology, Iwi; Mātauranga tikanga tāngata; Noho-ā-iwi, Rangahau
Rangamaro, , , Taua
Rangatira, Tumu whakarae; Chieftains; Leaders; Leadership, Ariki; Kaiārahi; Mana tangata; Rangatiratanga, Tāngata whenua
Rangatiratanga, Chiefly authority, Kīngitanga; Mana tangata; Rangatira; Taiapure; Tino rangatiratanga, Tikanga tuku iho
Rangimārie, Maungārongo; Peace, Rongomatāne; Tatau pounamu, Tikanga tuku iho
Ranginui, Sky father, Mahere whetū; Ōrokohanga o te ao, Atua
Rangiora, Bushman's friend, , Mauwha
Rangitaki, Blogs, , Pae tukutuku
Ranguru," Chatham Island petrels; Petrels, Chatham Island", , Manu moana
Raparapa, , , Whare whakairo
Rapuara," Career guidance; Guidance, Career; Guidance, Vocational; Vocational guidance", , Ratonga ki te iwi
Rāpunga whakaaro, Wahanga whakaaro; Whakatakoto whakaaro; Philosophy, , Pūtaiao
Rarā," Gourd instruments; Instruments, Gourd; Rattles; Shakers", Hinepūtehue; Hue; Hue puruhau; Hue puruwai; Kōauau ponga ihu; Ororuarangi; Poiāwhiowhio; Ponga ihu, Taonga pūoro
Raranga, Weaving, Hīnaki; Tāruke; Whatu kākahu, Toi Māori + Whare pora
Raranga kete, Basket making, , Raranga
Rārangi pouaka whakaata, Television programmes, , Pouaka whakaata
Rarauhe," Rahurahu; Rārahu; Rau aruhe; Bracken ferns; Ferns, Bracken", , Huruhuru whenua
Rarohenga, Underworld, , Ao wairua
Rātā o Te Ika a Māui, Northern rātā, , Aka + Rākau whakakake
Rātā Te Wai Pounamu, Southern rātā, , Aka + Rākau whakakake
Rātāhuihui, Sunfishes, , Ika moana
Rātaka, Diaries; Journals (Diaries), , Tuhinga kōrero
Rātana, Rātana Church; Rātana faith, , Hāhi Māori
Ratonga," Public services; Services, Public", Tahua pūtea; Whare pukapuka; Whare tukunga kōrero, Hapori
Ratonga ahi, Fire services, Ārai i te ahi; Haumaru ahi; Ratonga ki te iwi; Tuku ratonga, Ratonga
Ratonga ki te iwi," Community services; Services, Community", Ratonga ahi; Rūnanga ā-iwi; Tuku ratonga; Whakapakari ā-iwi, Ratonga
Rau, Leaves, , Te Wao nui a Tāne
Rauawa, , Kaunaroa, Waka
Rauemi, Resources, , Pūtaiao
Rauemi-ā-ipurangi," Electronic resources; Online resources; Resources, Electronic; Resources, Online; Resources, Web; Web resources", , Ipurangi + Rauemi
Rauhuia, Matamatahuia, , Otaota
Raukawa, , , Rākau whakaruruhau
Raukūmara, , , Mauwha
Raukura, Feathers, Maro kōpua; Puhi waka; Puhiariki; Puhirere; Pūrere, Manu
Raumati, Summer, Hine-Raumati, Wāhanga o te tau
Raupatu, Confiscations, Kerēme (Tiriti o Waitangi); Muru; Muru whenua; Whenua raupatu, Tikanga
Raupeka," Easter orchids; Orchids, Easter", , Otaota hāwere
Raupō, Horokawa; Bulrushes, Manu tukutuku; Mōkihi; Pākau; Poi; Toetoe, Otaota waimāori + Whara
Raupō taranga," Lilies, Poor Knights; Poor Knights lilies", Toetoe, Whara
Raurau," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Rautaki, Strategies; Strategy, , Kaupapa
Rautaki reo," Language strategy; Strategy, Language", , Rautaki + Reo Māori
Rauwiringa tāpoi, Eco-tourism, , Tāpoi
Rawa whakanao, Industrial plants, , Hua
Raweke ira tangata, Genetic engineering, Ira, Pūtaiao
Raweke tamariki, Child abuse (Sexual), , Tūkinotanga
Rāwhara, Sails, , Waka
Rēhita ki te pōti," Registrations, Voter; Voter registrations", , Pōtitanga
Rehu, Flutes, Hineraukatauri; Kōauau; Kōauau ponga ihu; Nguru; Ororuarangi; Ponga ihu; Pōrutu; Pūmotomoto; Pūtōrino, Taonga pūoro
Rei puta, Adornments (Whale's tooth); Jewellery (Whale's tooth), , Whakakai
Remuremu, Raumangu; Rekoreko, , Otaota
Remuroa," Raupeti; Nightshades, Smallflowered; Smallflowered nightshades", , Otaota
Reo-ā-iwi, Mita o te reo; Tangi o te reo; Dialects; Tribal dialects, Iwi, Reo Māori
Reo irirangi," Waerehe; Radio; Radio stations; Stations, Radio", Kaipāho; Kaiwhakaari; Kawe kōrero; Pūrongorongo; Toi whakaari, Pāpāho
Reo Māori, Reo rangatira; Te reo Māori; Te reo rangatira; Māori language, Kapa haka; Kōhanga reo; Kura kaupapa Māori,
Reorua, Bilingual, Whakamāori, Reo Māori
Reremai," Basking sharks; Sharks, Basking", , Ika moana
Rerenga kōrero," Commentaries, Social; Social commentaries", , Reo Māori
Rerepehi," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Rērēwai," Pondweeds, Red; Red pondweeds", , Otaota waimāori
Rerewhenua, Tereina; Trains; Ngārara muka, , Waka
Reta, Correspondence; Letters, , Kōrero
Rēti whare, Renting; Tenancy, Pūtea; Ture rēti whare, Whare noho
Retoreto," Returetu; Ferns, Floating; Floating ferns", , Otaota waimāori
Rewarewa, , , Rākau whakakake
Rewharewha, Mate rewharewha urutā; Flu; Influenza, Maremare, Mate urutā
Rīki, Rugby League football, , Hākinakina
Rimu," Puaka; Pines, Red; Red pines", , Rākau whakakake
Rimurapa," Bull kelps; Kelps, Bull", , Rimutai
Rimurimu, , , Rimutai
Rimutai," Marine plants; Plants, Marine; Seaweeds", Otaota waimāori, Moana + Ngā uri o Tangaroa
Ringa kaha," Conquest, Land; Land conquest; Musket wars; Wars, Musket", Hauhau; Pakanga; Whenua raupatu, Mana whenua
Ringatū, , Hauhau; Kupu whakaari, Hāhi Māori
Ringawera," Ringa raupā; Kitchen volunteers; Volunteers, Kitchen", , Kaitūao
Riparipa," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Riroriro," Grey warblers; Warblers, Grey", , Manu ngahere
Ritenga, Practices; Processes; Rites; Rituals, Kawa; Toi moko, Tikanga
Rito nīkau, Nīkau hearts; Palm hearts, , Hua whenua + Nīkau
Rito tī kōuka, , , Hua whenua + Tī kōuka
Rīwai, Hīwai; Potatoes; Parareka; Taewa, Ahu māra; Otaota (Kai), Pūtake
Rō, Stick insects, , Aitanga pepeke
Rōia, Lawyers, Ture o te Kāwanatanga, Ture
Roimata toroa, Lattice work patterns, , Tukutuku
Rokiroki kai," Foods, Frozen; Foods, Non-perishable; Foods, Preserved; Frozen foods; Preserves (Food)", , Kai
Rona, Hina-te-Iwaiwa; Hina-te-Otaota; Hina-uri; Hine-te-Iwaiwa, Marama; Maramataka; Te Awa Atua; Tōriwha, Atua
Rongo, Saturn, , Whetū kōkori
Rongoā, Medicine, Karamuramu; Porotiti; Pūhā, Hauora
Rongoā whakairangi," Abuse, Substance; Drug abuse; Drug addiction; Drug dependency; Substance abuse", , Kahungatanga
Rongomatāne," Rongo (Atua); Farming, Organic; Gardening, Organic; Organic farming; Organic gardening", Kai; Mahinga kai o te whenua; Rangimārie, Atua + Papatūānuku
Rongopai, Gospels, , Paipera Tapu
Rōpū Māori," Groups, Māori; Māori groups; Māori trusts; Societies; Trusts, Māori", Āhuatanga pāpori; Hunga mahi toi; Kaitiaki (Whenua); Mana whakahaere; Rūnanga ā-iwi; Tokomatua; Wātene Māori, Hapori
Rōpū tōrangapū," Rōpū whakaawe; Activist groups; Groups, Activist; Groups, Lobby; Lobby groups; Political groups; Political parties", Kōtahitanga; Mautohe; Pāremata, Tōrangapū
Roria," Jew's harp, Māori", Tānetuarōria (Taonga pūoro), Taonga pūoro
Roro, , , Whare whakairo
Rorohiko, Computer science, Hangarau mōhiohio; Ipurangi; Pae tukutuku, Hangarau
Rorohiko tākaro," Computer games; Games, Computer; Games, Video; Video games", , Hangarau
Rotarota," Chants, Hand game; Hand game chants", Poi; Whakaraka, Waiata koroua
Roto, Lakes, , Wai
Rū whenua, Oioi o Papatūānuku; Rū o te whenua; Rūrū whenua; Earthquakes, Papatūānuku; Rūaumoko, Aituā (Taiao)
Ruakapanga, , Whare, Atua
Rūaumoko, Rūaimoko, Ō kawekawe; Pahūtanga; Pūngao ngāwhā; Pūtaiao; Rū whenua; Tā moko (Tā ngira); Tā moko (Uhi); Toa; Tūhua, Atua
Ruku, Diving, , Hākinakina
Ruku kōura, Crayfish catching, Kōura mara, Mahinga ika tūturu
Rūmātiki, Rheumatic fever; Rheumatism, , Tahumaero
Runa, Docks (Plants), , Otaota
Rūnanga ā-iwi," Rūnanga iwi; Rūnanganui; Authorities, Urban Māori; Incorporated societies, Tribal; Organisations, Pan-iwi; Organisations, Tribal; Tribal incorporated societies; Tribal organisations; Urban Māori authorities; Rūnaka", Ahumahi; Kaitiaki (Whenua); Mana whakahaere; Ratonga ki te iwi; Rōpū Māori; Umanga; Whakapakari ā-iwi, Iwi
Rūpahu, Lying; Rūkahu, , Kōrero
Ruri, Ditties (Amorous), Pao, Waiata koroua
Ruru, Koukou; Morepork; Owls, , Manu ngahere
Super 10s whakataetae a rohe, , Super 12s whakataetae a motu, Kapa haka
Super 12s whakataetae a motu, , Super 10s whakataetae a rohe, Kapa haka
Tā, Carving; Drawing, Hunga mahi toi; Tā moko (Uhi); Whakairo; Whare whakairo, Toi Māori
Tā moko (Tā ngira), Tattooing (Contemporary), Rūaumoko; Tā moko (Uhi); Tohunga tā moko; Wai ngārahu; Whakaahua, Waka toi
Tā moko (Uhi)," Moko, Tā; Tattooing (Traditional)", Rūaumoko; Tā; Tā moko (Tā ngira); Tohunga tā moko; Toi moko; Wai ngārahu, Uhi ā Mataora
Tā tuhi, Perehitanga; Printing, Whakaputa pukapuka, Kōrero
Tahā huahua, Gourd containers, , Hinu kai
Taha moana, One; Onepū; Oneroa; Tāhuna; Tātahi; Tuaone; Beaches, Tangaroa, Moana
Tāhapa, Ambush parties, , Taua
Tāhere manu," Bird traps; Traps, Bird", Waka kererū; Waka waituhi, Manu
Tāhiko, Electronics, Hiko, Ahupūngao
Tahua pūtea, Karāti; Tahua moni; Grants, Karahipi; Ratonga, Pūtea
Tāhuhu, Ridgepoles, , Whare whakairo
Tahumaero," Conditions, Medical; Diseases; Disorders; Medical conditions", , Mate rerekē
Taiaha, Hani; Māipi; Pouhani, Mau taiaha; Pouwhenua, Rākau ā Tū
Taiao," Ao nui; Environment; History, Natural; Natural history; Nature; World", Ao wairua; Pūtaiao,
Taiapure, Taiāpure; Fishing areas (Commercial); Fishing grounds (Commercial); Fishing reserves (Commercial); Traditional fishing reserves, Mahinga ika tūturu; Mātaitai; Rangatiratanga; Tiriti o Waitangi, Ahumahi (Hī ika) + Taunga ika
Taihemahema," Genitals; Organs, Reproductive; Organs, Sexual; Reproductive organs; Sexual organs", Hauora taihemahema; Hōkakatanga, Tinana
Tāiko," Karetai; Toanui; Black petrels; Petrels, Black", , Manu moana
Taiohi," Rangatahi; Adolescents, 12-16; Teenagers, 12-16; Young people, 12-16; Youth, 12-16", Kura tuarua; Taitamariki; Tamariki; Whakamātau hinengaro taiohi; Wharekura, Whānau
Taiohou," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Taipūwhenuatanga, Colonialism; Colonisation, Hekenga; Hūnuku; Tua taipūwhenuatanga, Tōrangapū
Taitamariki," Rangatahi; Teenagers, about 16-21; Young people, about 16-21; Youth, about 16-21", Pakeke; Taiohi; Whakamātau hinengaro taitamariki, Whānau
Taitōkai," Abuse, Sexual; Crimes, Sexual; Sexual abuse; Sexual crimes", , Hara + Tūkinotanga
Taitoto," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Taiwhenua," Tuawhenua; Areas, Rural; Rural areas", , Whenua
Takā, , , Waka
Taka tapui," Kirione, Tā; Art, Rock; Rock art", , Toi Māori
Takahe, Moho, , Manu ngahere
Takahi, , , Waiata ā ringa
Takahikare," Petrels, White-faced storm; Storm petrels, White-faced; White-faced storm petrels", , Manu moana
Tākapu, Karake; Tākupu; Gannets, , Manu moana
Tākaro, Recreational activities, Korikori tinana; Whakaraka, Mahi ā Rēhia
Takatāpui, Gays; Homosexuals; Lesbians; Transexuals, Takatāpuitanga; Tuakiri, Tāngata whenua
Takatāpuitanga, Homosexuality, Hōkakatanga; Takatāpui, Tuakiri
Tākawa, , , Hua rākau + Kawakawa
Tāke, Taake; Tāka; Taxation; Taxes, Ohaoha; Pūtea, Ture o te Kāwanatanga
Take hauora, Health issues, , Hauora
Tāke hokohoko, Goods and Services Tax; GST, , Hokohoko
Taki o Autahi, Southern Cross, , Tātai whetū
Tākiato, , , Waka
Tākoha," Gifts, Conditional", Tuku whenua, Koha
Takurua, Winter, Hine-Takurua, Wāhanga o te tau
Takurua (Whetū), Sirius, , Whetū
Tākuta," Rata; Doctors, Medical; Medical doctors; Physicians", , Kaimahi (Ora)
Takutai moana, Foreshore; Seabed; Seashores, , Moana
Takutaku, Chants, , Karakia
Tama-nui-te-rā, Sun, Māui; Pūngao kōmaru; Rā, Atua
Tamāhine, Hine; Kōhine; Daughters, Ira wahine; Kōtiro; Whakapapa, Whānau
Tamariki," Tamaiti; Children, 5-12", Kōhungahunga; Kōrero paki mā ngā tamariki; Kura kaupapa Māori; Kura tuatahi; Taiohi; Whakamātau hinengaro tamariki, Whānau
Tamariki nohinohi, Toddlers, Kōhanga reo; Kōhungahunga; Kura pūhou; Pēpē, Whānau
Tame heihei, Roosters, Heihei; Pīpī heihei, Manu pāmu
Tāmure, Snapper, Pātiki, Ika waitai
Tāne, Men, , Tāngata whenua
Tāne-Rore, , Haka; Hine-Raumati; Hine-Takurua; Kapa haka; Wiri, Atua
Tāne-te-waiora, , Tānemāhuta, Atua
Tānekaha," Celery pines; Pines, Celery", , Rākau whakakake
Tānemāhuta, Tāne (Atua), Ahumahi ngahere; Hinetītama; Karanga manu; Karanga weka; Kū; Mahere whetū; Pahū; Pūkaea; Pūpū kauri; Tāne-te-waiora; Tānetuarōria; Tānetuarōria (Taonga pūoro); Tāwhaki; Te tini whanaunga o ngahere; Tuaroria; Whare, Atua
Tānetuarōria, , Tānemāhuta; Tānetuarōria (Taonga pūoro), Atua
Tānetuarōria (Taonga pūoro)," Forest music; Music, Forest", Hineraukatauri; Karanga manu; Karanga weka; Pūpū harakeke (Taonga pūoro); Pūpū kauri; Roria; Tānemāhuta; Tānetuarōria; Tuaroria, Taonga pūoro
Tangaroa, , Hī ika; Hinemoana; Kai; Kaimoana; Mahere moana; Mahinga kai o te wai; Moana; Ngā uri o Tangaroa; Pākuru; Pūmoana; Taha moana; Waipuke, Atua
Tangaroa (Whetū kōkori), Neptune, , Whetū kōkori
Tāngata, Tangata; People; Person, Hara; Hunga mahi toi; Ingoa; Ira tangata; Kōrero taumata; Mana tāne; Manaaki tangata; Mārenatanga; Matenga; Ōhākī; Tiakitanga; Toi moko; Tuakiri; Utu; Whakahāwea iwi; Whakangā; Whakapapa; Whakatau mauri; Whanaungatanga,
Tāngata o Te Moana-nui-a-Kiwa, Iwi o Te Moana-nui-a-Kiwa; Te Moana-nui-a-Kiwa; Pacific Island culture; Pacific nations; Pacific peoples; Pasifika, , Iwi + Tāngata
Tāngata whenua," Indigenous people (Aotearoa); Māori people; People, Māori", Hapū; Iwi; Iwi taketake; Waka (Whakapapa); Whānau; Whenua,
Tangihanga," Tangi; Ceremonies, Mourning; Mourning ceremonies", Matenga; Mōteatea; Pānuitanga mate; Urupā; Wāhi tapu; Waka tūpāpaku, Tikanga
Tango whakaahua, Photography, Pukapuka whakaahua, Whakaahua
Tāniko, Tātua tāniko; Tauri tāniko, Kaitaka; Kaitaka paepaeroa, Whatu
Taniwha," Kaitiaki; Guardians, Spiritual; Spiritual guardians", Ika moana; Kaitiakitanga; Mana o te wai; Ngārara; Wai, Ao wairua + Wairua
Taniwha (Whare whakairo), , , Whare whakairo
Taonga, , ,
Taonga pūoro," Instruments, Māori musical; Musical instruments (Māori)", Hineraukatauri; Pūoro; Taonga whakatangitangi, Mahi ā Rēhia
Taonga whakatangitangi," Pūoru whakatangitangi; Instruments, Modern musical; Musical instruments (Modern)", Pūoro ā rorohiko; Pūoro reo; Taonga pūoro, Waka toi
Taotahi," Single pointed spears; Spears, Single pointed", , Taputapu hī ika
Tapairu, Women of rank, Tapu, Tāngata whenua
Tāpia, Mistletoes, , Otaota hāwere
Tāpoi, Ahumahi tāpoi; Tourism, Umanga, Ahumahi
Tapu, , Atua; Kaitangata; Karakia; Makawe; Mana; Mana atua; Mana tūpuna; Noa; Tapairu; Te Awa Atua; Tohunga; Wāhi tapu; Wai tapu, Tikanga tuku iho
Taputapu, Equipment; Gadgets; Goods; Tools; Utensils, Mea tākaro, Hangarau + Rauemi
Taputapu ahu whenua, Gardening tools; Horticultural tools, , Ahu māra + Taputapu
Taputapu hī ika," Equipment, Fishing; Fishing equipment; Fishing implements; Fishing tools; Implements, Fishing; Tools, Fishing", Hī hākinakina; Hīnaki; Tāruke, Hī ika + Taputapu
Tara," Terns, White-fronted; White-fronted terns", Tarāpunga, Manu ki tātahi
Taraire, , , Hua rākau + Rākau whakakake
Tarakupenga, Sand coprosma, , Mauwha
Taramea, Karamea; Kueo; Kurikuri; Papaio; Tumatakuru; Spaniards (Plants); Speargrasses, , Otaota
Tarāpunga," Makorā; Tarā punga; Gulls, Red-billed; Red-billed gulls; Seagulls", Karoro; Kūaka; Manu moana; Tara, Manu ki tātahi
Tararā, Croation culture; Croation people; Dalmatian culture; Dalmatian people; Yugoslav culture; Yugoslav people, , Tauiwi
Tarata, Lemonwoods, , Rākau whakaruruhau
Taratara-a-kai, Taratara-o-kai; Carving patterns (Zig zag notch), , Whakairo
Tarawhānui, , , Whare whakairo
Tārerarera, , , Rākau ā Tū
Tarewa, , Kōpū (Whetū kōkiri), Whetū
Taro, Taro hōia, Hua whenua; Toetoe, Whara
Taru kino, Cannabis abuse; Marijuana abuse, , Rongoā whakairangi
Tāruke, , Hīnaki; Raranga; Taputapu hī ika, Ruku kōura
Tarutaru, Weeds, , Otaota
Tātai, , , Whakapapa
Tātai arorangi, Mātauranga tātai arorangi; Astronomy, Mahere whetū; Whakatere waka hourua, Whānau mārama
Tātai whetū, Kahui whetū; Pou-tere-rangi; Constellations, Whetū, Whānau mārama
Tātari raraunga," Analysis, Data; Data analysis", , Pāngarau
Tātari whakatakotoranga reo, Discourse analysis, , Reo Māori
Tatau, Doors, , Whare whakairo
Tatau pounamu," Agreements, Peace; Peace agreements", Rangimārie, Tikanga
Tatauranga, Statistics, Tūponotanga, Pāngarau
Tatauranga taupori, Demography, Taupori, Tatauranga
Tatauranga whānui, Census, , Tatauranga taupori
Tātua, Belts, , Maro
Taua, Tauā; Taua ngaki mate; Taua toto; Armed forces; War parties, Hōia, Pakanga
Taua muru, Plundering parties, Utu, Muru + Taua
Tauhinu korokio, Tauhinu koromiko; Cottonwoods, , Mauwha
Tauhokohoko, Barter; Commerce; Trade, Ōhanga, Umanga
Tauhokohoko-ā-ipurangi," Commerce, Electronic; E-commerce; Electronic commerce", Ipurangi, Tauhokohoko
Tauhou, Silvereyes; Waxeyes, , Manu ngahere
Tauihu, , , Waka
Tauira, Pupils, Akonga; Karahipi, Ako
Tauiwi, Foreigners; Nationalities, Iwi taketake, Tāngata
Taukumekume, Arguments, Mautohe, Tautohetohe
Taumāhekeheke," Competitive leisure activities; Competitive recreational activities; Competitive social activities; Leisure activities, Competitive; Recreational activities, Competitive; Social activities, Competitive", , Whakataetae
Taumau," Taimau; Tāmau; Taumou; Tomo (Taumau); Tono (Taumau); Arranged marriages; Marriages, Arranged", Mārenatanga; Whakapapa, Tikanga tuku iho
Taunahanahatanga, Tohu pūmahara; Tohu whenua; Tūtakiwā; Land forms; Landmarks; Names of places; Placenames, Awa; Ingoa; Moana; Pepeha; Tūrangawaewae, Tuakiri + Whenua
Taunga ika, Fishing grounds, , Hī ika
Tauparapara," Canoe chants; Chants, Canoes", Waka, Karakia + Whaikōrero
Taupatupatu," Arguments, Physical; Physical arguments", , Tautohetohe
Taupori, Population, Tatauranga taupori, Tāngata
Taura, Ropes, , Whatu
Taura waka, , , Taura + Waka
Tauranga (Waka), Canoe landings; Landings for canoes, Ūnga waka, Waka
Taurapa," Sternposts, Canoe", Puhiariki, Waka
Taurekareka, Slaves of war; Slaves through capture, Mōkai (Tikanga), Pakanga
Tautohetohe, Arguments; Debates, Mautohe; Whenua tautohetohe, Kōrero
Tautoru, Te Kakau; Orion's Belt, , Tātai whetū
Tawa, , , Hua rākau + Rākau whakakake
Tawāpou, , , Rākau whakaruruhau
Tāwari, , , Rākau whakaruruhau
Tawatawa," Tewetewe; Blue mackerels; Mackerels, Blue", , Ika moana
Tāwhai," Tāwai; Beeches, Silver; Silver beeches", , Rākau whakakake
Tāwhai pango," Beeches, Black; Black beeches", , Rākau whakakake
Tāwhai raunui," Beeches, Red; Red beeches", , Rākau whakakake
Tāwhaki, , Tānemāhuta, Atua
Tāwhiri, , , Rākau whakaruruhau
Tāwhirimātea, , Āhua-o-te-rangi; Hau; Haumātakataka, Atua
Te Ao Hurihuri, Te Ao Hou; Post-European era, , Ōrokohanga o te ao
Te Ao Tāwhito, Te Ao Kōhatu; Pre-European era, Kōrero nehe, Ōrokohanga o te ao
Te Awa Atua," Awa Atua, Te; Īkura; Mate marama; Mate wāhine; Paheke; Tahe; Menstruation", Hinenuitepō; Hinetītama; Marama; Rona; Tapu; Whare tangata, Wāhine
Te mahana haere o te ao," Mahana haere o te ao, Te; Global warming; Warming, Global", Huringa āhuarangi, Āhuarangi
Te Pakanga Tuatahi o Te Ao," Pakanga Tuatahi o Te Ao, Te; First World War; World War 1; World War One; World War, First; WWI", , Pakanga
Te tini whanaunga o ngahere," Ecology, Forest; Forest ecology", Tānemāhuta; Te Wao nui a Tāne, Mātauranga taupuhi kaiao
Te Waka o Tama-rereti, Tama-Rereti, Mangōroa, Tātai whetū
Te Wao nui a Tāne," Land plants; Plants, Land; Trees", Ahumahi ngahere; Mātauranga huaota; Moana; Te tini whanaunga o ngahere, Pūtaiao
Tekoteko, , , Whare whakairo
Tēnehi, Tennis, , Hākinakina
Tete," Short spears; Spears, Short", , Rākau ā Tū
Tewhatewha, , Mau tewhatawha, Rākau ā Tū
Tī, , , Rākau whakauru
Tī koraha," Tī papa; Tī rauriki; Cabbage trees, Dwarf; Dwarf cabbage trees", Tī kōuka; Tī ngahere; Tī pore; Tī tōī; Toetoe, Tī + Whara
Tī kōuka," Tī kāuka; Tī whanake; Cabbage trees; Trees, Cabbage", Tī koraha; Tī ngahere; Tī pore; Tī tōī, Tī
Tī ngahere," Tī parae; Tī pāre; Tī tōrere; Banks' cabbage trees; Cabbage trees, Banks'", Tī koraha; Tī kōuka; Tī pore; Tī tōī, Tī
Tī pore," Cabbage trees, Pacific Island; Pacific Islands cabbage trees", Tī koraha; Tī kōuka; Tī ngahere; Tī tōī, Tī
Tī rākau," Games, Stick; Stick games", Tītī tōrea, Whakaraka
Tī tōī," Tī kapu; Tī kupenga; Tī matuku tai; Broadleaved cabbage trees; Cabbage trees, Broadleaved; Cabbage trees, Mountain; Mountain cabbage trees", Tī koraha; Tī kōuka; Tī ngahere; Tī pore, Tī
Tiakitanga, , Hauora whānau; Manaaki tangata; Tāngata; Whenua, Tikanga tuku iho
Tieke, Saddlebacks, , Manu ngahere
Tikanga, Ceremonies; Customs; Protocols; Traditions, Hauora wairua; Kaitangata; Karakia; Māoritanga; Mātauranga tikanga tāngata; Tikanga tuku iho; Waharoa,
Tikanga-ā-iwi," Customs, Tribal; Traditions, Tribal; Tribal customs; Tribal traditions", Iwi; Marau-ā-iwi, Tikanga tuku iho
Tikanga akuaku, Hygiene, , Hauora tinana
Tikanga rua, Kākano-rua; Tikanga-rua; Tikanga ā-rua; Whakaaro-rua; Bicultural; Biculturalism, Mana ake; Tuakiri, Mātauranga hapori + Tiriti o Waitangi
Tikanga tangata," Human rights; Rights, Human", , Ture
Tikanga tuku iho, Values, Atua; Karakia; Tikanga; Tohunga,
Tikanga tunu kai, Tohutaka; Tohutao; Tohutohu tao kai; Recipes (Cooking), , Tunu kai
Timo, , , Rākau ā Tū
Tinana," Kikokiko; Anatomy; Body, Human; Human body", Whare tangata, Hauora tinana + Tāngata
Tinihanga," Conjuring tricks; Hoaxes; Magic tricks; Skulduggery; Trickery; Tricks, Conjuring; Tricks, Magic", , Whanonga
Tino kounga o te whakahaere, Quality management, , Mahi whakahaere
Tino rangatiratanga," Chieftaincy, Paramount; Māori sovereignty; Paramount chieftaincy; Sovereignty, Māori", Kerēme (Tiriti o Waitangi); Kōtahitanga; Rangatiratanga, Tōrangapū
Tio, Oysters, Kaimoana, Pūtaiao
Tipa, Scallops, Kaimoana, Pūtaiao
Tipi, Tītipi, , Rākau ā Tū
Tirairaka, Pīwakawaka; Fantails, , Manu ngahere
Tiriti o Waitangi, Treaty of Waitangi, Mana whenua; Mema Pāremata; Pāremata; Taiapure; Whenua raupatu; Whenua tautohetohe, Kāwanatanga
Tītī," Muttonbirds, South Island; South Island muttonbirds", , Manu moana
Titi (Tā moko)," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Tītī tōrea," Games, Stick; Stick games", Tī rākau, Whakaraka
Tītī wainui," Tītīwainui; Fairy prions; Prions, Fairy", , Manu moana
Tititipounamu, Riflemen (Birds), , Manu ngahere
Tītoki, Tītongi, , Rākau whakaruruhau
Tītoko, , , Waka
Tiwhana," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Toa, Achievers; Business people; Entrepreneurs; Sports people; Sports players (Achievers); Warriors, Rūaumoko; Tūmatauenga, Tāngata
Tōanga waka," Canoe portages; Portages, Canoe", , Waka
Toetoe, , Harakeke; Kahakaha; Kōwharawhara; Kuta; Māika; Oioi; Pātītī; Pīngao; Raupō; Raupō taranga; Taro; Tī koraha, Whara
Toetoe hūnangāmoho," Hūnangāmoho; Broadleaved bush tussocks; Tussocks, Broadleaved bush", , Toetoe
Toetoe kiwi," Toetoe mātā; Toetoe ngaungau; Cutty grasses; Grasses, Cutty", , Toetoe
Toetoe rara ngārara, Tākahikahi; Toetoe tarangārara, , Toetoe
Toetoe rautahi, Rautahi, , Toetoe
